iid,gender,wave,round,partner,pid,match,int_corr,samerace,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,race,imprace,imprelig,originally_from,zipcode,income,goal,date,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
1,0,1,10,1,11,0,0.14,0,27,2,0,6,8,8,8,8,6,7,4,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,2,12,0,0.54,0,22,2,0,7,8,10,7,7,5,8,4,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,3,13,1,0.16,1,22,4,1,10,10,10,10,10,10,10,10,1,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,4,14,1,0.61,0,23,2,1,7,8,9,8,9,8,7,7,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,5,15,1,0.21,0,24,3,1,8,7,9,6,9,7,8,6,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,6,16,0,0.25,0,25,2,1,7,7,8,8,7,7,7,6,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,7,17,0,0.34,0,30,2,0,3,6,7,5,8,7,2,1,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,8,18,0,0.5,0,27,2,0,6,7,5,6,8,6,7,5,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,9,19,1,0.28,0,28,2,1,7,7,8,8,8,9,6.5,8,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
1,0,1,10,10,20,0,-0.36,0,24,2,0,6,6,6,6,6,6,6,6,2,21,Law,4,2,4,Chicago,60521,69487,2,7,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,15,20,20,15,15,15
2,0,1,10,1,11,0,0.29,1,27,2,0,8,7,6,9,7,4,7,2,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,2,12,0,0.18,1,22,2,0,7,6,10,6,6,5,8,4,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
